analyst,cbs_id,player_name_abbrev,position,bye_week,overall_rank,auction_value_dollar,source_url,pulled_date
CBS Consensus,2867159,J. Ferguson,TE,14,159,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3123108,R. Davis,RB,7,160,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,26706066,M. Fields,WR,8,161,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2963637,T. Tracy Jr.,RB,8,162,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2082721,A. Kamara,RB,8,163,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,29158151,J. Lane,WR,13,164,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,28875899,C. Allen,WR,5,165,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3162347,J. McMillan,WR,10,166,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3163421,K. Vidal,RB,7,167,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2960940,R. Bateman,WR,13,168,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2080032,B. Mayfield,QB,10,169,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3121696,B. Strange,TE,7,170,1,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2962350,C. Brooks,RB,11,171,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2250863,R. Shaheed,WR,11,172,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2741200,N. Harris,RB,8,173,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2966551,I. Pacheco,RB,6,174,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2967232,J. Nailor,WR,13,175,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2071585,J. Conner,RB,14,176,2,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2079848,H. Henry,TE,11,177,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3131661,G. Holani,RB,11,178,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3162525,T. Harris,WR,7,179,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2965208,C. Okonkwo,TE,7,180,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,26697415,P. Bryant,WR,10,181,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2773009,M. Davis,RB,14,182,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,28878358,G. Bernard,WR,9,183,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,29123979,Z. Branch,WR,11,184,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,29421796,T. Hurst,WR,10,185,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,1850793,D. Waller,TE,5,186,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,28877974,A. Williams,WR,7,187,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,28891456,R. Flournoy,WR,14,188,0,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
